bin_left,bin_right,count
48.0,117.1,41
117.1,186.2,42
186.2,255.29999999999998,23
255.29999999999998,324.4,11
324.4,393.5,12
393.5,462.59999999999997,8
462.59999999999997,531.6999999999999,14
531.6999999999999,600.8,9
600.8,669.9,10
669.9,739.0,4
739.0,808.0999999999999,6
808.0999999999999,877.1999999999999,3
877.1999999999999,946.3,7
946.3,1015.3999999999999,1
1015.3999999999999,1084.5,3
1084.5,1153.6,3
1153.6,1222.6999999999998,0
1222.6999999999998,1291.8,3
1291.8,1360.8999999999999,3
1360.8999999999999,1430.0,6
